Beta,Cl
-5.0,0.016824
-4.9,0.016493
-4.8,0.016163
-4.7,0.015831
-4.6,0.0155
-4.5,0.015168
-4.4,0.014836
-4.3,0.014503
-4.2,0.01417
-4.1,0.013837
-4.0,0.013504
-3.9,0.01317
-3.8,0.012836
-3.7,0.012502
-3.6,0.012167
-3.5,0.011832
-3.4,0.011497
-3.3,0.011162
-3.2,0.010826
-3.1,0.01049
-3.0,0.010154
-2.9,0.009818
-2.8,0.009481
-2.7,0.009144
-2.6,0.008807
-2.5,0.00847
-2.4,0.008133
-2.3,0.007795
-2.2,0.007458
-2.1,0.00712
-2.0,0.006782
-1.9,0.006444
-1.8,0.006105
-1.7,0.005767
-1.6,0.005428
-1.5,0.00509
-1.4,0.004751
-1.3,0.004412
-1.2,0.004073
-1.1,0.003734
-1.0,0.003395
-0.9,0.003055
-0.8,0.002716
-0.7,0.002377
-0.6,0.002037
-0.5,0.001698
-0.4,0.001358
-0.3,0.001019
-0.2,0.000679
-0.1,0.00034
0.0,-0.0
0.1,-0.00034
0.2,-0.000679
0.3,-0.001019
0.4,-0.001358
0.5,-0.001698
0.6,-0.002037
0.7,-0.002377
0.8,-0.002716
0.9,-0.003055
1.0,-0.003395
1.1,-0.003734
1.2,-0.004073
1.3,-0.004412
1.4,-0.004751
1.5,-0.00509
1.6,-0.005428
1.7,-0.005767
1.8,-0.006105
1.9,-0.006444
2.0,-0.006782
2.1,-0.00712
2.2,-0.007458
2.3,-0.007795
2.4,-0.008133
2.5,-0.00847
2.6,-0.008807
2.7,-0.009144
2.8,-0.009481
2.9,-0.009818
3.0,-0.010154
3.1,-0.01049
3.2,-0.010826
3.3,-0.011162
3.4,-0.011497
3.5,-0.011832
3.6,-0.012167
3.7,-0.012502
3.8,-0.012836
3.9,-0.01317
4.0,-0.013504
4.1,-0.013837
4.2,-0.01417
4.3,-0.014503
4.4,-0.014836
4.5,-0.015168
4.6,-0.0155
4.7,-0.015831
4.8,-0.016163
