y_span,Cl
-9.374,0.354303
-9.2872,0.66469
-9.1432,0.924098
-8.9428,1.119877
-8.6872,1.26444
-8.3781,1.37091
-8.0174,1.449871
-7.6072,1.506849
-7.1501,1.547514
-6.6489,1.578341
-6.1068,1.601503
-5.5269,1.618483
-4.9131,1.630218
-4.2689,1.638343
-3.5984,1.644373
-2.9057,1.649076
-2.1951,1.652893
-1.471,1.655564
-0.7378,1.65712
-0.0,1.657633
0.7378,1.65712
1.471,1.655564
2.1951,1.652893
2.9057,1.649076
3.5984,1.644373
4.2689,1.638343
4.9131,1.630218
5.5269,1.618483
6.1068,1.601503
6.6489,1.578341
7.1501,1.547514
7.6072,1.506849
8.0174,1.449871
8.3781,1.37091
8.6872,1.26444
8.9428,1.119877
9.1432,0.924098
9.2872,0.66469
9.374,0.354303
